STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,4.7,4.87,10,44,61.089999999999996,9.283333333333333,3.85,4.24,0.93,6.62,-
Metalimnion,-,-,-,-,63.26333333333333,13.7,-,-,2.52,6.11,-
Hypolimnion,-,-,-,-,72.15,25.1,-,-,4.01,6.25,-
Boat Launch,-,-,-,-,-,-,-,-,-,-,2
Outlet,-,-,10,-,60.879999999999995,0.008013333333333334,-,-,0.65,6.65,-
Smoke Rise Cove,-,-,-,-,-,-,-,-,-,-,3
