STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,14.8,3.09,41,153,207,19,2.02,2.14,1.48,6.87,-
Powwow Pond-Inlet,-,-,44,-,227.2,23,-,-,1.4233333333333333,6.25,-
