STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Epilimnion,5.8,3.23,11,42,67.805,9,4.12,5.6,1.8,6.44,-
Metalimnion,-,-,-,-,65.545,6,-,-,0.63,6.78,-
Hypolimnion,-,-,-,-,67.98,11,-,-,1,6.03,-
Big Rock Inlet,-,-,16,-,92.545,17,-,-,1.95,6.62,-
Muddy Beach Inlet,-,-,11,-,66.24000000000001,19,-,-,7.42,6.78,-
Outlet,-,-,-,-,68.9,7,-,-,0.84,6.88,-
Shore Beach,-,-,-,-,-,<5,-,-,-,-,1
Thusis Beach,-,-,-,-,-,<5,-,-,-,-,2
