STATNAME,Alk. (mg/L),Chlor-a (μg/L),Chloride (mg/L),Color (pcu),Cond. (μS/cm),Total P (μg/L),Trans. NVS (m),Trans. VS (m),Turb. (ntu),pH,E. coli (mpn/100 mL)
Brown Inlet,-,-,73,-,277.5,<5,-,-,-,-,-
Haas Bk,-,-,119,-,439.25,<5,-,-,-,-,-
Nutter Inlet,-,-,34,-,151.5,<5,-,-,-,-,-
Top Brown At Bog Rd,-,-,52,-,216.5,<5,-,-,-,-,-
