STATIONID,parameter,n,tau,mk_p,sen_slope,sen_ci_lower,sen_ci_upper,trend
SUNGRED,SPCD_epi,13,0.9743589743589742,4.7470608822930726e-6,4.52,3.4666666666666663,6.35,Worsening
SUNGRED,CHL_comp,13,-0.025641025641025637,0.9513521309544037,-0.017936507936507962,-0.31000000000000005,0.4424999999999999,Stable
SUNGRED,PH_epi,13,-0.46153846153846145,0.03273560958832076,-0.028333333333333332,-0.061666666666666835,-0.006666666666666672,Worsening
SUNGRED,SECCHI_NVS,13,-0.02668802563418119,0.9505490015219569,0,-0.08750000000000002,0.08999999999999994,Stable
SUNGRED,TP_hypo,12,-0.09534625892455922,0.7262861488788049,-0.03571428571428571,-0.8333333333333334,0.7,Stable
SUNGRED,TP_epi,13,-0.23692415692169536,0.2954328504393153,-0.20416666666666666,-0.7222222222222222,0.25,Stable
