parameter,non_na_n,MK,SEN,tau,p.value,slope,significant,slope_dir,trend,mean_value,percent_change
CHL_comp,37,,,-0.11711711436510086,0.31389927864074707,1,FALSE,NA,Stable,4.891272072072072,20.444579350017094
PH_epi,37,,,0.5015015006065369,1.3232231140136719e-5,1,TRUE,increasing,Improving,5.6978333333333335,17.55053090355983
SECCHI,37,,,-0.10969199240207672,0.34631550312042236,1,FALSE,NA,Stable,3.136846846846847,31.879146443033974
SPCD_epi,37,,,-0.20720720291137695,0.07316390424966812,1,FALSE,NA,Stable,26.084283783783786,3.833726117570018
TP_epi,37,,,-0.140166774392128,0.22865110635757446,1,FALSE,NA,Stable,11.490495495495496,8.702844889430747
TP_hypo,37,,,0.2202134132385254,0.05775940418243408,1,FALSE,NA,Stable,14.744234234234234,6.782312218549319
