STATIONID,PARAMETER,n,tau,mk_p,sen_slope,sen_ci_lower,sen_ci_upper,TREND
MASBRAD,SPCD_epi,40,0.010256410256410256,0.9349988039705048,0.007239583333333347,-0.14111111111111146,0.15766666666666657,Stable
MASBRAD,CHL_comp,39,0.26621645929198395,0.01772400395654321,0.028181818181818186,0.004399999999999995,0.05260869565217391,Worsening
MASBRAD,PH_epi,40,-0.0025806988704625456,0.9906968710396601,0,-0.00458333333333331,0.004444444444444449,Stable
MASBRAD,SECCHI_NVS,40,-0.26779125976949475,0.017530273112001612,-0.02546296296296298,-0.04999999999999997,0,Worsening
MASBRAD,TP_epi,40,0.04681883432350937,0.682764700541103,0.008137931034482765,-0.03249999999999997,0.06125000000000003,Stable
MASBRAD,TP_hypo,40,0.03142050359353865,0.7879122024045156,0,-0.04999999999999982,0.07894736842105263,Stable
