parameter,non_na_n,tau,p.value,slope,trend,mean_value,percent_change
CHL_comp,47,0.0018527114298194647,0.9926822185516357,0,Worsening,7.362553191489361,0
PH_epi,47,-0.1404673159122467,0.16869251430034637,-0.0040000000000000036,Worsening,6.6953191489361705,-0.05974323121901619
SECCHI,46,-0.07229937613010406,0.49363696575164795,-0.00454545454545455,Worsening,2.868478260869565,-0.15846222742774482
SPCD_epi,47,0.01390178594738245,0.8978233337402344,0.00909090909090922,Worsening,34.94776595744681,0.02601284757938037
TP_epi,45,-0.01616161616161616,NA,NA,Improving,13.28888888888889,NA
TP_hypo,45,0.010101010101010102,NA,NA,Worsening,25.3,NA
