STATIONID,parameter,n,tau,mk_p,sen_slope,sen_ci_lower,sen_ci_upper,trend
ARMPIED,SPCD_epi,38,-0.3490032031024304,0.0021547519150651347,-0.12631578947368433,-0.1866666666666667,-0.057222222222222285,Improving
ARMPIED,CHL_comp,38,-0.2309342414128742,0.04291290367485796,-0.020000000000000018,-0.043636363636363654,-4.7619047619046605e-4,Improving
ARMPIED,PH_epi,38,0.16690510155836563,0.1446195673560213,0.005000000000000071,-0.0018750000000000155,0.010999999999999944,Stable
ARMPIED,SECCHI_NVS,38,-0.4623316912109326,5.3414665919728974e-5,-0.04705882352941176,-0.06666666666666672,-0.02631578947368421,Worsening
ARMPIED,TP_hypo,38,0.07265512882936802,0.5423759378072872,0,-0.02076923076923077,0.04391304347826086,Stable
ARMPIED,TP_epi,38,-0.1707813021277834,0.14763992336464532,-0.04359999999999999,-0.10399999999999998,0,Stable
