STATIONID,parameter,n,tau,mk_p,sen_slope,sen_ci_lower,sen_ci_upper,trend
FORDALD,SPCD_epi,34,0.29794837903125804,0.013850092799229283,0.16500000000000004,0.028823529411764824,0.30666666666666664,Worsening
FORDALD,CHL_comp,34,0.08035727097789387,0.5141309749776227,0.018076923076923067,-0.051111111111111156,0.09437499999999999,Stable
FORDALD,PH_epi,33,-0.01520923541825377,0.9135818700649694,-6.066176470588367e-4,-0.013333333333333345,0.009999999999999964,Stable
FORDALD,SECCHI,16,-0.38333333333333336,0.04276342583319386,-0.07906250000000001,-0.17000000000000004,-0.007142857142857244,Worsening
FORDALD,TP_hypo,28,0.0027453678394855604,1,0,-0.125,0.15937500000000004,Stable
FORDALD,TP_epi,32,-0.02857357077698692,0.8327288429374995,-0.004879807692307712,-0.10769230769230773,0.09999999999999964,Stable
