RELLAKE_WBID,RELLAKE,TOWN,STATNAME,STATIONID,PROJID,PUB
NHLAK400010502-01,AKERS POND,ERROL,AKERS POND-DEEP SPOT,AKEERRD,VLAP,LM-195
NHLAK700061403-01-01,ANGLE POND,HAMPSTEAD,ANGLE POND-SAYRE INLET EAST FORK,ANGSDNSYIE,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,HAMPSTEAD,ANGLE POND-SAYRE INLET UPPER EAST FORK,ANGSDNSYIUEF,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,HAMPSTEAD,ANGLE POND-SAYRE INLET WEST FORK,ANGSDNSYIW,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-CONDOS,ANGSDNC,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-DEEP SPOT,ANGSDND,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-EAST LANE PIPE,ANGSDNELP,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-HYNDS INLET,ANGSDNH,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-LAKEVIEW RAMP,ANGSDNLV,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-NORTH INLET,ANGSDNNI,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-OUTLET,ANGSDNO,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-SMITH INLET,ANGSDNSMI,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-SAYRE INLET,ANGSDNSYI,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-WEST INLET,ANGSDNWI,VLAP,LM-001
NHLAK700061403-01-01,ANGLE POND,SANDOWN,ANGLE POND-WEST SHORE DRAINAGE PIPE,ANGSDNWSD,VLAP,LM-001
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-1,ARMPIE1,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-2,ARMPIE2,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 2A,ARMPIE2A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 2B,ARMPIE2B,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 2C,ARMPIE2C,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-3,ARMPIE3,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 3A,ARMPIE3A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-4,ARMPIE4,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 4A,ARMPIE4A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-5,ARMPIE5,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 5A,ARMPIE5A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 5B,ARMPIE5B,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 5C,ARMPIE5C,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-6,ARMPIE6,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6A,ARMPIE6A,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6C,ARMPIE6C,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6D,ARMPIE6D,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6E,ARMPIE6E,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6F,ARMPIE6F,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6H,ARMPIE6H,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6J,ARMPIE6J,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-SITE 6K,ARMPIE6K,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-DEEP SPOT,ARMPIED,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-BACTERIA SAMPLE #01,ARMPIEEC01,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-BACTERIA SAMPLE #02,ARMPIEEC02,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-BACTERIA SAMPLE #03,ARMPIEEC03,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-BACTERIA SAMPLE #04,ARMPIEEC04,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-INLET,ARMPIEI,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-INLET A,ARMPIEIA,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-INLET LEFT,ARMPIEIL,VLAP,LM-002
NHLAK801040201-01,ARMINGTON LAKE,PIERMONT,ARMINGTON LAKE-OUTLET,ARMPIEO,VLAP,LM-002
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-ADAMS A,ASHWASAA,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-ADAMS B,ASHWASAB,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-ADAMS C,ASHWASAC,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-LAE BEACH DEEP,ASHWASBD,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-LAE BEACH SHALLOW,ASHWASBS,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-DEEP SPOT,ASHWASD,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-JEFFERSON A,ASHWASJEFFA,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-JEFFERSON B,ASHWASJEFFB,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-JEFFERSON C,ASHWASJEFFC,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-MARINA INLET,ASHWASMA,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-MILLEN INLET,ASHWASMI,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-NB CROWLEY COVE,ASHWASNB,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-OUTLET,ASHWASO,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-RIVER INLET,ASHWASRI,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-SOUTH POINT,ASHWASSP,VLAP,LM-003
NHLAK802010101-01,ASHUELOT POND,WASHINGTON,ASHUELOT POND-2ND SPILLWAY,ASHWASSPILL,VLAP,LM-003
NHLAK600030607-01,AYERS POND,BARRINGTON,AYERS POND-DEEP SPOT,AYEBARD,VLAP,LM-004
NHLAK600030607-01,AYERS POND,BARRINGTON,AYERS POND-HERON WAY,AYEBARHW,VLAP,LM-004
NHLAK600030607-01,AYERS POND,BARRINGTON,AYERS POND-INLET,AYEBARI,VLAP,LM-004
NHLAK600030607-01,AYERS POND,BARRINGTON,AYERS POND-LOGGING INLET,AYEBARLI,VLAP,LM-004
NHLAK600030607-01,AYERS POND,BARRINGTON,AYERS POND-LITTLE LONG POND OUTLET,AYEBARLLPO,VLAP,LM-004
NHLAK600030607-01,AYERS POND,BARRINGTON,AYERS POND-NORTHWEST COVE,AYEBARNC,VLAP,LM-004
NHLAK600030607-01,AYERS POND,BARRINGTON,AYERS POND-OUTLET,AYEBARO,VLAP,LM-004
NHLAK700020101-08,BACK BAY,WOLFEBORO,BACK BAY-DEEP SPOT,BACWOLD,VLAP,
NHLAK700020101-08,BACK BAY,WOLFEBORO,BACK BAY-FROG HOLLOW INLET,BACWOLF,VLAP,
NHLAK700020101-08,BACK BAY,WOLFEBORO,BACK BAY-OUTLET,BACWOLO,VLAP,
NHLAK700020101-08,BACK BAY,WOLFEBORO,BACK BAY-SMITH RIVER INLET,BACWOLS,VLAP,
NHLAK700020101-08,BACK BAY,WOLFEBORO,BACK BAY-TWIN PIPES INLET,BACWOLT,VLAP,
NHLAK801010203-01-01,BACK LAKE,PITTSBURG,BACK LAKE-DEEP SPOT,BACPITD,VLAP,
NHLAK801010203-01-01,BACK LAKE,PITTSBURG,BACK LAKE-BACTERIA SAMPLE #01,BACPITEC01,VLAP,
NHLAK801010203-01-01,BACK LAKE,PITTSBURG,BACK LAKE-BACTERIA SAMPLE #02,BACPITEC02,VLAP,
NHLAK801010203-01-01,BACK LAKE,PITTSBURG,BACK LAKE-OUTLET,BACPITO,VLAP,
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-89 RUNOFF CULVERT,BAPSPR89CL,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-STATION A,BAPSPRA,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-STATION B,BAPSPRB,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-CULVERT #1,BAPSPRC1,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-CULVERT #2,BAPSPRC2,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-CULVERT #3,BAPSPRC3,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-DEEP SPOT,BAPSPRD,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-MCALVIN INLET,BAPSPRM,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-MCALVIN BROOK,BAPSPRMB,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-MCALVIN POND BROOK,BAPSPRMCPB,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-MCALVIN POND IN LAKE,BAPSPRMIL,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-OUTLET,BAPSPRO,VLAP,LM-005
NHLAK801060402-02,BAPTIST POND,SPRINGFIELD,BAPTIST POND-STONEY BROOK INLET,BAPSPRSB,VLAP,LM-005
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-ALESSI,BAXFARAL,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-BEACH 1,BAXFARB1,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-BEACH 2,BAXFARB2,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-BEACH 3,BAXFARB3,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-CRUZE BROOK,BAXFARCB,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-CRUZE BROOK PIGEON,BAXFARCBP,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-CRUZE COVE,BAXFARCC,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-DEEP SPOT,BAXFARD,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-DINNEEN BROOK,BAXFARDB,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-DINEEN BROOK A KING ARTHUR,BAXFARDBAK,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-DINEEN BROOK B,BAXFARDBB,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-GRANDVIEW BEACH 2,BAXFARGV2,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-GRANDVIEW INLET,BAXFARGVI,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-OUTLET,BAXFARO,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-PIGEON BROOK,BAXFARPB,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,FARMINGTON,BAXTER LAKE-ROY BEACH,BAXFARRB,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,ROCHESTER,BAXTER LAKE-GRANDVIEW BEACH 1,BAXFARGV1,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,ROCHESTER,BAXTER LAKE-GRANDVIEW BEACH 3,BAXFARGV3,VLAP,LM-186
NHLAK600030602-01,BAXTER LAKE,ROCHESTER,BAXTER LAKE-REC CAMPGROUND BCH,BAXFARRCB,VLAP,LM-186
NHLAK700020108-01,BEAR POND,CENTER HARBOR,BEAR POND-OUTLET,BEACENO,VLAP,
NHLAK700020108-01,BEAR POND,CENTER HARBOR,BEAR POND-OUTLET DOWNSTREAM,BEACENOD,VLAP,
NHLAK600020601-01-01,BEARCAMP POND,SANDWICH,BEARCAMP POND-BIG ISLAND SWIM,BEASWHBI,VLAP,LM-006
NHLAK600020601-01-01,BEARCAMP POND,SANDWICH,BEARCAMP POND-DEEP SPOT,BEASWHD,VLAP,LM-006
NHLAK600020601-01-01,BEARCAMP POND,SANDWICH,BEARCAMP POND-INLET,BEASWHI,VLAP,LM-006
NHLAK600020601-01-01,BEARCAMP POND,SANDWICH,BEARCAMP POND-OUTLET,BEASWHO,VLAP,LM-006
NHLAK600020601-01-01,BEARCAMP POND,SANDWICH,BEARCAMP POND-PARTRIDGE HILL BEACH,BEASWHPHB,VLAP,LM-006
NHLAK600020601-01-01,BEARCAMP POND,SANDWICH,BEARCAMP POND-PREINLET,BEASWHPI,VLAP,LM-006
NHLAK600020601-01-01,BEARCAMP POND,SANDWICH,BEARCAMP POND-MOUTH OF RIVER,BEASWHRM,VLAP,LM-006
NHLAK600020601-01-01,BEARCAMP POND,SANDWICH,BEARCAMP POND-SWIM AREA,BEASWHSWIM,VLAP,LM-006
NHIMP700030204-05-01,BEARDS BROOK - EAST WASHINGTON DAM,WASHINGTON,MILL POND/BEARDS BROOK-BEACH,MLLEWASB,VLAP,LM-094
NHIMP700030204-05-01,BEARDS BROOK - EAST WASHINGTON DAM,WASHINGTON,MILL POND/BEARDS BROOK-DEEP SPOT,MLLEWASD,VLAP,LM-094
NHIMP700030204-05-01,BEARDS BROOK - EAST WASHINGTON DAM,WASHINGTON,MILL POND/BEARDS BROOK-ISLAND POND INLET,MLLEWASI,VLAP,LM-094
NHIMP700030204-05-01,BEARDS BROOK - EAST WASHINGTON DAM,WASHINGTON,MILL POND/BEARDS BROOK-OUTLET,MLLEWASO,VLAP,LM-094
NHIMP700030204-05-01,BEARDS BROOK - EAST WASHINGTON DAM,WASHINGTON,MILL POND/BEARDS BROOK-WOODWARD BROOK,MLLEWASW,VLAP,LM-094
NHLAK700061203-02-01,BEAVER LAKE,DERRY,BEAVER LAKE-CAT O BROOK,BEADERC,VLAP,LM-007
NHLAK700061203-02-01,BEAVER LAKE,DERRY,BEAVER LAKE-CAT-O-BK AT BEAVER RD,BEADERCAB,VLAP,LM-007
NHLAK700061203-02-01,BEAVER LAKE,DERRY,BEAVER LAKE-CAT-O-BK AT TSENNETO RD,BEADERCAT,VLAP,LM-007
NHLAK700061203-02-01,BEAVER LAKE,DERRY,BEAVER LAKE-DEEP SPOT,BEADERD,VLAP,LM-007
NHLAK700061203-02-01,BEAVER LAKE,DERRY,BEAVER LAKE-JENNY DICKEY BROOK,BEADERJ,VLAP,LM-007
NHLAK700061203-02-01,BEAVER LAKE,DERRY,BEAVER LAKE-MANTER BROOK,BEADERM,VLAP,LM-007
NHLAK600020804-01-01,BERRY BAY,FREEDOM,BERRY BAY-DEEP SPOT,BERFRED,VLAP,LM-008
NHLAK801010102-01,BIG BROOK POND,PITTSBURG,BIG BROOK POND-DEEP SPOT,BROBPITD,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,ATKINSON,BIG ISLAND POND-CONLEY GROVE BEACH,ISLDERCGB,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,ATKINSON,BIG ISLAND POND-CULVERT #4,ISLDERCLV4,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,ATKINSON,BIG ISLAND POND-CONLEY'S POINT,ISLDERCP,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,ATKINSON,BIG ISLAND POND-HEMLOCK HEIGHTS SMALL BEACH,ISLDERHHSB,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,ATKINSON,BIG SLAND POND-OSBORN ISLAND,ISLDEROSI,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-BOULDER COVE S SHORE,ISLDERBC,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-BRIDGE AT ISLAND POND RD,ISLDERBRDG,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-CAMPGROUND INLET,ISLDERC,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-SHOP BK CULVERT,ISLDERCCUL,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,ISLAND POND-CHASES GROVE BEACH,ISLDERCHGB,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-CULVERT #1,ISLDERCLV1,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-CULVERT #2,ISLDERCLV2,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-COLLETTS,ISLDERCOL,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-DEEP SPOT,ISLDERD,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-DREW INLET,ISLDERDI,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-DREW INLET MOUTH,ISLDERDIM,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-EMMIT DRIVE #36 IN LAKE,ISLDERE36L,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-EAST SIDE DAM COVE,ISLDEREDAM,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-GILL,ISLDERG,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-HEMLOCK HEIGHTS BEACH,ISLDERHHB,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-JOHNSON COVE,ISLDERJC,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-KRUSCHWITCH,ISLDERKR,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-MILL SHORE RD,ISLDERMSR,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-OUTLET,ISLDERO,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-PERCH (CAMP) COVE,ISLDERPC,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-TAYLOR BROOK,ISLDERT,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-TAYLOR BEACH,ISLDERTBE,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-TAYLOR BROOK AT ISLAND POND RD,ISLDERTBIPRD,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-TAYLOR BROOK UPSTREAM,ISLDERTBU,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,DERRY,BIG ISLAND POND-TAYLOR MOUTH,ISLDERTM,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,HAMPSTEAD,BIG ISLAND POND-CULVERT #3,ISLDERCLV3,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,HAMPSTEAD,BIG ISLAND POND-EMMIT DR #36,ISLDERE36,VLAP,LM-009
NHLAK700061101-01-01,BIG ISLAND POND,HAMPSTEAD,BIG ISLAND POND-CAMPGROUND INLET AT SHOP ROAD,ISLDERSI,VLAP,LM-009
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-99 EIDEL,PEABMAD99ED,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-ARLBERG & BRENNER,PEABMADAB,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-ARLBERG END,PEABMADAEND,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRDIGE POND-ALLARD & GOTZENS,PEABMADAG,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-BIG ROCK INLET,PEABMADB,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#3 BIG LOOP DR,PEABMADC03,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#5 EIDELWEISS CAUSEWAY,PEABMADC05,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#6 EIDELWEISS DR,PEABMADC06,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#7 EIDELWEISS DR,PEABMADC07,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#7A EIDELWEISS DR,PEABMADC07A,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRDIGE POND-#7B LOT 99 ED,PEABMADC07B,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#8 BRENNER DR,PEABMADC08,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#8A BRENNER DR,PEABMADC08A,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-BRENNER AT TOWNLINE,PEABMADC08B,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#9 LIZUM PLACE,PEABMADC09,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#10 ARLBERG,PEABMADC10,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#11,PEABMADC11,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND - #19 ALLARD HILL RD,PEABMADC1119,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#11A ALLARD HILL RD,PEABMADC11A,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#12 PORRIDGE SHORE DR,PEABMADC12,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#14 MODOCK HILL RD,PEABMADC14,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#14A BICKFORD RD,PEABMADC14A,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRDIGE POND-#14B MODOCK HILL RD,PEABMADC14B,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#14C MODOCK HILL RD,PEABMADC14C,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#16 EIDELWEISS DR,PEABMADC16,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-#19 TASKER HILL RD,PEABMADC19,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-LOT 83 EIDELWEISS DR,PEABMADC83,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-CURVE SIGN ALLARD HILL RD,PEABMADCSA,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-DEEP SPOT,PEABMADD,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-MUDDY BEACH INLET,PEABMADM,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-MODOCK AT LOG CABIN,PEABMADMLC,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-OUTLET,PEABMADO,VLAP,LM-114
NHLAK600020303-05,BIG PEA PORRIDGE POND,MADISON,BIG PEA PORRIDGE POND-SHORE BEACH,PEABMADSB,VLAP,LM-114
