RELLAKE,RELLAKE_WBID,WATERBODYID,WATERBODYNAME,BEST_TROPHIC_CLASS
ABENIKI LAKE,NHLAK801010401-01,NHLAK801010401-01,ABENIKI LAKE,OLIGOTROPHIC
ABENIKI LAKE,NHLAK801010401-01,NHLAK801010401-01,ABENIKI LAKE,OLIGOTROPHIC
ADAMS POND,NHLAK700060501-01,NHLAK700060501-01,ADAMS POND,MESOTROPHIC
ADAMS POND,NHLAK700061203-01,NHLAK700061203-01,ADAMS POND,EUTROPHIC
ADAMS POND,NHLAK700061203-01,NHLAK700061203-01,ADAMS POND,EUTROPHIC
ADAMS POND,NHLAK700060501-01,NHLAK700060501-01,ADAMS POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
ADDER POND,NHLAK700030403-01,NHLAK700030403-01,ADDER POND,MESOTROPHIC
AKERS POND,NHLAK400010502-01,NHLAK400010502-01,AKERS POND,MESOTROPHIC
AKERS POND,NHLAK400010502-01,NHLAK400010502-01,AKERS POND,MESOTROPHIC
AKERS POND,NHLAK400010502-01,NHLAK400010502-01,AKERS POND,MESOTROPHIC
ANDERSON POND,NHLAK801060401-01,NHLAK801060401-01,ANDERSON POND,EUTROPHIC
ANDERSON POND,NHLAK801060401-01,NHLAK801060401-01,ANDERSON POND,EUTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ANGLE POND,NHLAK700061403-01-01,NHLAK700061403-01-01,ANGLE POND,MESOTROPHIC
ARCHERS POND,NHLAK600020701-01,NHLAK600020701-01,ARCHERS POND,MESOTROPHIC
ARCHERS POND,NHLAK600020701-01,NHLAK600020701-01,ARCHERS POND,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NA,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARLINGTON MILL RESERVOIR,NHLAK700061101-04,NHLAK700061101-04,ARLINGTON MILL RESERVOIR,MESOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NA,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ARMINGTON LAKE,NHLAK801040201-01,NHLAK801040201-01,ARMINGTON LAKE,OLIGOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ASHUELOT POND,NHLAK802010101-01,NHLAK802010101-01,ASHUELOT POND,MESOTROPHIC
ATWOOD POND,NHLAK700010401-01,NHLAK700010401-01,ATWOOD POND,MESOTROPHIC
ATWOOD POND,NHLAK700010401-01,NHLAK700010401-01,ATWOOD POND,MESOTROPHIC
AUDUBON SOCIETY DAM POND,NHLAK700060601-06,NHLAK700060601-06,AUDUBON SOCIETY DAM POND,EUTROPHIC
AUDUBON SOCIETY DAM POND,NHLAK700060601-06,NHLAK700060601-06,AUDUBON SOCIETY DAM POND,EUTROPHIC
AYERS POND,NHLAK600030607-01,NHLAK600030607-01,AYERS POND,OLIGOTROPHIC
AYERS POND,NHLAK600030607-01,NHLAK600030607-01,AYERS POND,OLIGOTROPHIC
AYERS POND,NHLAK600030607-01,NHLAK600030607-01,AYERS POND,OLIGOTROPHIC
AYERS POND,NHLAK600030607-01,NHLAK600030607-01,AYERS POND,OLIGOTROPHIC
AYERS POND,NHLAK600030607-01,NHLAK600030607-01,AYERS POND,OLIGOTROPHIC
AYERS POND,NHLAK700061206-01,NHLAK700061206-01,AYERS POND,EUTROPHIC
AYERS POND,NHLAK700030204-01,NHLAK700030204-01,AYERS POND,MESOTROPHIC
AYERS POND,NHLAK700030204-01,NHLAK700030204-01,AYERS POND,MESOTROPHIC
AYERS POND,NHLAK700061206-01,NHLAK700061206-01,AYERS POND,EUTROPHIC
BABBIDGE RESERVOIR,NHLAK802010202-14,NHLAK802010202-14,BABBIDGE RESERVOIR,OLIGOTROPHIC
BABBIDGE RESERVOIR,NHLAK802010202-14,NHLAK802010202-14,BABBIDGE RESERVOIR,OLIGOTROPHIC
BABBIDGE RESERVOIR,NHLAK802010202-14,NHLAK802010202-14,BABBIDGE RESERVOIR,OLIGOTROPHIC
BABBIDGE RESERVOIR,NHLAK802010202-14,NHLAK802010202-14,BABBIDGE RESERVOIR,OLIGOTROPHIC
BABBIDGE RESERVOIR,NHLAK802010202-14,NHLAK802010202-14,BABBIDGE RESERVOIR,OLIGOTROPHIC
BABBIDGE RESERVOIR,NHLAK802010202-14,NHLAK802010202-14,BABBIDGE RESERVOIR,OLIGOTROPHIC
BABBIDGE RESERVOIR,NHLAK802010202-14,NHLAK802010202-14,BABBIDGE RESERVOIR,OLIGOTROPHIC
BABBIDGE RESERVOIR,NHLAK802010202-14,NHLAK802010202-14,BABBIDGE RESERVOIR,OLIGOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NA,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BABOOSIC LAKE,NHLAK700060905-01-01,NHLAK700060905-01-01,BABOOSIC LAKE,MESOTROPHIC
BACK LAKE,NHLAK801010203-01-01,NHLAK801010203-01-01,BACK LAKE,MESOTROPHIC
BACK LAKE,NHLAK801010203-01-01,NHLAK801010203-01-01,BACK LAKE,MESOTROPHIC
BACK LAKE,NHLAK801010203-01-01,NHLAK801010203-01-01,BACK LAKE,MESOTROPHIC
BACK LAKE,NHLAK801010203-01-01,NHLAK801010203-01-01,BACK LAKE,MESOTROPHIC
BACON POND,NHLAK802010101-02,NHLAK802010101-02,BACON POND,EUTROPHIC
BACON POND,NHLAK802010101-02,NHLAK802010101-02,BACON POND,EUTROPHIC
BADGER POND,NHLAK700060904-02,NHLAK700060904-02,BADGER POND,MESOTROPHIC
BADGER POND,NHLAK700060904-02,NHLAK700060904-02,BADGER POND,MESOTROPHIC
BADGER POND,NHLAK700020202-01,NHLAK700020202-01,BADGER POND,EUTROPHIC
BADGER POND,NHLAK700020202-01,NHLAK700020202-01,BADGER POND,EUTROPHIC
BAGLEY POND,NHLAK700030304-02,NHLAK700030304-02,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030304-02,NHLAK700030304-02,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAGLEY POND,NHLAK700030202-06,NHLAK700030202-06,BAGLEY POND,MESOTROPHIC
BAILEY POND,NHLAK700060606-01,NHLAK700060606-01,BAILEY POND,EUTROPHIC
BAILEY POND,NHLAK700060606-01,NHLAK700060606-01,BAILEY POND,EUTROPHIC
BAKER BROOK - BAKER BROOK POND,NHIMP801030403-03,NHIMP801030403-03,BAKER BROOK - BAKER BROOK POND,EUTROPHIC
BAKER BROOK - BAKER BROOK POND,NHIMP801030403-03,NHIMP801030403-03,BAKER BROOK - BAKER BROOK POND,EUTROPHIC
BAKER POND,NHLAK801010902-01,NHLAK801010902-01,BAKER POND,EUTROPHIC
BAKER POND,NHLAK802010403-01,NHLAK802010403-01,BAKER POND,OLIGOTROPHIC
BAKER POND,NHLAK801010902-01,NHLAK801010902-01,BAKER POND,EUTROPHIC
BAKER POND,NHLAK802010403-01,NHLAK802010403-01,BAKER POND,OLIGOTROPHIC
BALCH POND,NHLAK600021001-01,NHLAK600021001-01,BALCH POND,MESOTROPHIC
BALCH POND,NHLAK600021001-01,NHLAK600021001-01,BALCH POND,MESOTROPHIC
BALCH POND,NHLAK600021001-01,NHLAK600021001-01,BALCH POND,MESOTROPHIC
BALCH POND,NHLAK600021001-01,NHLAK600021001-01,BALCH POND,MESOTROPHIC
BALCH POND,NHLAK600021001-01,NHLAK600021001-01,BALCH POND,MESOTROPHIC
BAPTIST POND,NHLAK801060402-02,NHLAK801060402-02,BAPTIST POND,MESOTROPHIC
BAPTIST POND,NHLAK801060402-02,NHLAK801060402-02,BAPTIST POND,MESOTROPHIC
BAPTIST POND,NHLAK801060402-02,NHLAK801060402-02,BAPTIST POND,MESOTROPHIC
BAPTIST POND,NHLAK801060402-02,NHLAK801060402-02,BAPTIST POND,MESOTROPHIC
BAPTIST POND,NHLAK801060402-02,NHLAK801060402-02,BAPTIST POND,MESOTROPHIC
BAPTIST POND,NHLAK801060402-02,NHLAK801060402-09,MCALPIN POND,MESOTROPHIC
BAPTIST POND,NHLAK801060402-02,NHLAK801060402-02,BAPTIST POND,MESOTROPHIC
BAPTIST POND,NHLAK801060402-02,NHLAK801060402-02,BAPTIST POND,MESOTROPHIC
BARBADOES POND,NHLAK600030903-01,NHLAK600030903-01,BARBADOES POND,MESOTROPHIC
BARBADOES POND,NHLAK600030903-01,NHLAK600030903-01,BARBADOES POND,MESOTROPHIC
BARBADOES POND,NHLAK600030903-01,NHLAK600030903-01,BARBADOES POND,MESOTROPHIC
BARBADOES POND,NHLAK600030903-01,NHLAK600030903-01,BARBADOES POND,MESOTROPHIC
BARRETT POND,NHLAK802010102-05,NHLAK802010102-05,BARRETT POND,OLIGOTROPHIC
BARRETT POND,NHLAK802010102-05,NHLAK802010102-05,BARRETT POND,OLIGOTROPHIC
BARRETT POND,NHLAK700030202-01,NHLAK700030202-01,BARRETT POND,MESOTROPHIC
BARRETT POND,NHLAK700030202-01,NHLAK700030202-01,BARRETT POND,MESOTROPHIC
BARTLETT MILL POND,NHLAK700061403-12,NHLAK700061403-12,BARTLETT MILL POND,MESOTROPHIC
BARTLETT MILL POND,NHLAK700061403-12,NHLAK700061403-12,BARTLETT MILL POND,MESOTROPHIC
BARVILLE POND,NHLAK700010501-01,NHLAK700010501-01,BARVILLE POND,OLIGOTROPHIC
BARVILLE POND,NHLAK700010501-01,NHLAK700010501-01,BARVILLE POND,OLIGOTROPHIC
BASIN POND,NHLAK600020401-04,NHLAK600020401-04,BASIN POND,MESOTROPHIC
BASIN POND,NHLAK600020401-04,NHLAK600020401-04,BASIN POND,MESOTROPHIC
BASIN POND,NHLAK600020401-04,NHLAK600020401-04,BASIN POND,MESOTROPHIC
BASIN POND,NHLAK600020401-04,NHLAK600020401-04,BASIN POND,MESOTROPHIC
BATSON POND,NHLAK700020101-01,NHLAK700020101-01,BATSON POND,MESOTROPHIC
BATSON POND,NHLAK700020101-01,NHLAK700020101-01,BATSON POND,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAXTER LAKE,NHLAK600030602-01,NHLAK600030602-01,BAXTER LAKE,MESOTROPHIC
BAYBERRY POND,NHLAK700061401-01,NHLAK700061401-01,BAYBERRY POND,EUTROPHIC
BAYBERRY POND,NHLAK700061401-01,NHLAK700061401-01,BAYBERRY POND,EUTROPHIC
BEAN POND,NHLAK600020802-01,NHLAK600020802-01,BEAN POND,MESOTROPHIC
BEAN POND,NHLAK600020802-01,NHLAK600020802-01,BEAN POND,MESOTROPHIC
BEAR BROOK POND,NHLAK400010406-01,NHLAK400010406-01,BEAR BROOK POND,MESOTROPHIC
BEAR BROOK POND,NHLAK400010406-01,NHLAK400010406-01,BEAR BROOK POND,MESOTROPHIC
BEAR HILL POND,NHLAK700060503-01,NHLAK700060503-01,BEAR HILL POND,OLIGOTROPHIC
BEAR HILL POND,NHLAK700060503-01,NHLAK700060503-01,BEAR HILL POND,OLIGOTROPHIC
BEAR POND,NHLAK700020108-01,NHLAK700020108-01,BEAR POND,MESOTROPHIC
BEAR POND,NHLAK700020102-05,NHLAK700020102-05,BEAR POND,OLIGOTROPHIC
BEAR POND,NHLAK700020108-01,NHLAK700020108-01,BEAR POND,MESOTROPHIC
BEAR POND,NHLAK700020108-01,NHLAK700020108-01,BEAR POND,MESOTROPHIC
BEAR POND,NHLAK700020108-01,NHLAK700020108-01,BEAR POND,MESOTROPHIC
BEAR POND,NHLAK700030502-03,NHLAK700030502-03,BEAR POND,OLIGOTROPHIC
BEAR POND,NHLAK700020108-01,NHLAK700020108-01,BEAR POND,MESOTROPHIC
BEAR POND,NHLAK700020102-05,NHLAK700020102-05,BEAR POND,OLIGOTROPHIC
BEAR POND,NHLAK700030502-03,NHLAK700030502-03,BEAR POND,OLIGOTROPHIC
BEAR POND,NHLAK700030502-03,NHLAK700030502-03,BEAR POND,OLIGOTROPHIC
BEAR POND,NHLAK700020102-05,NHLAK700020102-05,BEAR POND,OLIGOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARCAMP POND,NHLAK600020601-01-01,NHLAK600020601-01-01,BEARCAMP POND,MESOTROPHIC
BEARD POND,NHLAK700060605-06,NHLAK700060605-06,BEARD POND,EUTROPHIC
BEARD POND,NHLAK700060605-06,NHLAK700060605-06,BEARD POND,EUTROPHIC
BEARDS BROOK - EAST WASHINGTON DAM,NHIMP700030204-05-01,NHIMP700030204-05-01,BEARDS BROOK - EAST WASHINGTON DAM,MESOTROPHIC
BEARDS BROOK - EAST WASHINGTON DAM,NHIMP700030204-05-01,NHIMP700030204-05-02,BEARDS BROOK - MILL POND TOWN BEACH,MESOTROPHIC
BEARDS BROOK - EAST WASHINGTON DAM,NHIMP700030204-05-01,NHIMP700030204-05-02,BEARDS BROOK - MILL POND TOWN BEACH,MESOTROPHIC
